Hoe much gratuity tax is exempt?                        ," Gratuity received by you on your retirement (or) during your service period is taxable 
under the head ""Salary""ù It should be shown under the head of ""Salaries"" while computing your ITR.
Gratuity received by the legal heir (or) nominee is not taxable if the gratuity becomes  due/sanctioned after the death of the employee. If the gratuity amount becomes due and paid  before the death of the employee then
 it is taxable under the head ""Income from Other Sources.""  
The nominee / legal has to show it in ITR (Income Tax Returns). Gratuity is considered as your retirement benefit and is tax exempted subject to certain conditions of Income Tax Act. 
For further details, please contact HR.
"
                         ,
                  ,
,
                                                                         ,
                                                                         ,
                                 ,
                  ,
,                                 
,                            
                                                                 ,
                                                                     ,
                                                                     ,
                                                                     ,
                                                                      ,
,
                                                                  ,
                                                                  ,
      ,
